LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-0.00919987	-0.254884	0.6424815654754639	0	-27.6356373599	7.12544457134	-17.109844849	-36.9179240984	151.0	0.0	1057	1057
0.00906638	-0.0446863	1.0226175785064697	1	-21.6610888439	13.0967879333	-4.77236007038	-39.9768473419	151.0	0.0	1057	2114
-0.00589431	-0.0234986	1.3821942806243896	2	-33.0178956183	8.39393568685	-16.9599061859	-41.6059138273	151.0	0.0	1057	3171
-0.00154719	-0.0590485	1.7479352951049805	3	-60.8263125081	7.8884828877	-50.8955516853	-71.9183175228	151.0	0.0	1057	4228
-0.00594361	-0.0179663	2.1338319778442383	4	-85.3840000916	3.81876692727	-79.6895551514	-90.0955436058	151.0	0.0	1057	5285
-0.0359444	-0.0722035	2.523552179336548	5	-90.2591047041	3.23233567351	-85.8693302154	-93.9745222964	151.0	0.0	1057	6342
-0.0300701	-0.0986602	2.922649621963501	6	-75.2892632136	3.27476944202	-69.9792644692	-79.7252479151	151.0	0.0	1057	7399
-0.0478263	-0.154047	3.310361623764038	7	-51.8257860591	6.31121153156	-42.2082491693	-60.7984731142	151.0	0.0	1057	8456
-0.00964904	-0.010392	3.6865899562835693	8	-29.0973506879	9.1851861042	-19.8416938108	-46.1570521787	151.0	0.0	1057	9513
-0.0169434	-0.0282849	4.050693511962891	9	-38.5830076205	25.0892795547	-11.5870048162	-91.8256881069	151.0	0.0	1057	10570
-0.0252966	-0.0289125	4.406849145889282	10	-14.6700100929	14.1606167797	7.40736227471	-41.5862724486	151.0	0.0	1057	11627
-0.0548752	-0.0575691	4.768983602523804	11	-4.33411301201	15.1687951323	27.8095291831	-24.3255575236	151.0	0.0	1057	12684
-0.00690226	-0.0125684	5.13798975944519	12	-3.07076187455	10.8133654734	9.37281908864	-19.8259069832	151.0	0.0	1057	13741
-0.0203004	-0.0419724	5.49506139755249	13	0.844947886935	18.0941526962	39.5385844945	-17.4694609004	151.0	0.0	1057	14798
-0.0368368	-0.0710471	5.857306957244873	14	8.86715970764	21.4570290652	40.6345189314	-26.81406987	151.0	0.0	1057	15855
-0.0266629	-0.0563357	6.218217611312866	15	22.1114205807	15.8284969138	51.9850297027	3.16366426482	151.0	0.0	1057	16912
-0.0687569	-0.0890129	6.578048467636108	16	38.9209520294	23.8819304439	74.9409086042	-0.735268334551	151.0	0.0	1057	17969
-0.0223712	-0.0253097	6.938290596008301	17	29.2514585512	18.6333758932	51.5259132109	-5.72563482163	151.0	0.0	1057	19026
-0.0190725	-0.0310808	7.299397945404053	18	27.2893443162	14.3401091956	49.0910209168	8.57079842931	151.0	0.0	1057	20083
-0.0386303	-0.0611815	7.659437656402588	19	27.3996120994	12.0624385402	40.2706794008	2.6735965215	151.0	0.0	1057	21140
-0.0202359	-0.0248829	8.020199298858643	20	15.9749700188	22.883969565	59.6690179612	-8.83323431499	151.0	0.0	1057	22197
-0.00252576	-0.0280968	8.393014430999756	21	27.8009061927	22.5930187204	74.3875367898	3.88077207047	151.0	0.0	1057	23254
-0.0256361	-0.0423624	8.769434690475464	22	20.508435325	21.3349046435	44.9033021368	-17.1077648581	151.0	0.0	1057	24311
-0.0161749	-0.0181605	9.131173849105835	23	5.86780883466	14.457159037	36.3641144583	-15.7094443944	151.0	0.0	1057	25368
-0.00387356	-0.0169709	9.490739822387695	24	10.3939341149	16.5984927975	35.1950613819	-15.4481349506	151.0	0.0	1057	26425
-0.0243485	-0.0373093	9.851147651672363	25	20.5688104004	15.8134266969	52.2357681674	3.19999396433	151.0	0.0	1057	27482
0.00828429	-0.017201	10.208605289459229	26	36.8206872753	18.5528468453	68.5895538644	2.48884706478	151.0	0.0	1057	28539
-0.0402271	-0.047774	10.57956838607788	27	19.1952574822	24.1578384061	60.4600065568	-26.131934926	151.0	0.0	1057	29596
-0.0281999	-0.0449035	10.955042600631714	28	16.6794658377	18.6613041678	42.102983563	-16.8906635241	151.0	0.0	1057	30653
-0.00518486	-0.0254518	11.311367511749268	29	-1.54415555299	38.5496089141	71.9541909388	-56.2513056277	151.0	0.0	1057	31710
-0.0301374	-0.0348059	11.669888734817505	30	16.8570526202	34.071696117	69.0258431678	-31.1017010544	151.0	0.0	1057	32767
-0.000248336	-0.0136988	12.036529302597046	31	4.75067209414	36.4896621898	78.1736375923	-34.3260396945	151.0	0.0	1057	33824
-0.0319874	-0.0346013	12.388668775558472	32	17.5749496032	49.3176231234	76.041060851	-73.4158143275	151.0	0.0	1057	34881
-0.00298819	-0.0151537	12.744635581970215	33	-5.83102477595	33.4882405542	53.8138238251	-37.1593116896	151.0	0.0	1057	35938
-0.0248607	-0.0300056	13.09975290298462	34	-1.10445541143	35.6093346334	59.4068705302	-49.7861005179	151.0	0.0	1057	36995
-0.0176921	-0.0266694	13.457609415054321	35	28.3585673809	58.0045605728	129.706093511	-39.6358763069	151.0	0.0	1057	38052
-0.0133397	-0.02896	13.812479257583618	36	19.2358538487	25.6097545798	65.726926102	-14.5691377927	151.0	0.0	1057	39109
