baseline loss	LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
504.166	-0.0185805	-0.615179	0.668891429901123	0	10.2551020408	3.96492588007	25.0	5.0	10.2551020408	3.96492588007	1005	1005
441.338	-0.00328271	-0.130721	0.9625916481018066	1	25.075	9.13068316174	57.0	12.0	25.075	9.13068316174	1003	2008
734.124	-0.00278951	-0.0607231	1.2340013980865479	2	44.1739130435	12.2745837578	72.0	28.0	44.1739130435	12.2745837578	1016	3024
1048.3	0.0064992	-0.0184651	1.5214967727661133	3	42.7916666667	12.1414550428	86.0	29.0	42.7916666667	12.1414550428	1027	4051
649.476	0.0127214	-0.156208	1.792403221130371	4	60.2941176471	20.4184596581	114.0	30.0	60.2941176471	20.4184596581	1025	5076
639.723	-0.00781223	-0.11804	2.100412607192993	5	104.727272727	59.9683111911	244.0	54.0	104.727272727	59.9683111911	1152	6228
625.886	-0.000114014	-0.0717688	2.366704225540161	6	102.1	29.6427056795	178.0	66.0	102.1	29.6427056795	1021	7249
576.898	-0.00157757	-0.0287057	2.6398987770080566	7	82.6923076923	26.8138443443	131.0	43.0	82.6923076923	26.8138443443	1075	8324
564.557	-0.00435465	-0.00719594	2.9064414501190186	8	64.0625	19.5942234791	104.0	33.0	64.0625	19.5942234791	1025	9349
520.86	0.00068784	-0.0134369	3.170689821243286	9	62.5625	14.7773845369	94.0	29.0	62.5625	14.7773845369	1001	10350
580.148	-0.00327698	-0.0572599	3.441467046737671	10	80.3076923077	23.9209744315	141.0	35.0	80.3076923077	23.9209744315	1044	11394
721.864	-0.00179213	-0.0376125	3.7564189434051514	11	160.857142857	51.8112744802	263.0	111.0	160.857142857	51.8112744802	1126	12520
596.135	-0.0164843	-0.0221198	4.0359015464782715	12	114.888888889	14.4640892054	151.0	103.0	114.888888889	14.4640892054	1034	13554
437.371	0.012775	-0.00137515	4.325201511383057	13	101.9	15.9652748176	128.0	79.0	101.9	15.9652748176	1019	14573
367.882	-0.0058185	-0.0304317	4.585089921951294	14	100.7	9.01165911472	116.0	86.0	100.7	9.01165911472	1007	15580
400.779	-0.00694563	-0.0199568	4.868287801742554	15	97.0909090909	17.567814297	124.0	70.0	97.0909090909	17.567814297	1068	16648
479.494	-0.0102972	-0.0612167	5.143748044967651	16	102.0	47.3476504169	186.0	45.0	102.0	47.3476504169	1020	17668
571.51	-0.0195285	-0.126836	5.409626007080078	17	61.2352941176	20.9299374996	100.0	17.0	61.2352941176	20.9299374996	1041	18709
727.111	-0.00493032	-0.045652	5.671717405319214	18	42.0833333333	18.5223213688	83.0	10.0	42.0833333333	18.5223213688	1010	19719
606.868	0.0100714	-0.106693	5.940469741821289	19	24.4390243902	13.9074445418	74.0	8.0	24.4390243902	13.9074445418	1002	20721
537.876	-0.00204677	-0.0318814	6.222840309143066	20	16.0	10.6622014463	55.0	7.0	16.0	10.6622014463	1008	21729
540.081	-0.000398752	-0.0266667	6.497206926345825	21	11.010989011	5.51420643867	35.0	5.0	11.010989011	5.51420643867	1002	22731
535.068	-0.000205471	-0.0321368	6.777212858200073	22	8.96428571429	5.21147184349	39.0	5.0	8.96428571429	5.21147184349	1004	23735
553.163	0.0109895	-0.00363994	7.063139200210571	23	8.33606557377	4.41979647877	37.0	5.0	8.33606557377	4.41979647877	1017	24752
510.951	0.0111715	0.0123885	7.370467901229858	24	7.79069767442	3.67407514831	23.0	5.0	7.79069767442	3.67407514831	1005	25757
527.251	-0.0140455	-0.0139134	7.67074728012085	25	7.54887218045	3.92498487218	31.0	4.0	7.54887218045	3.92498487218	1004	26761
499.907	0.00606513	-0.00554063	7.971725225448608	26	7.6641221374	3.78952088056	33.0	4.0	7.6641221374	3.78952088056	1004	27765
500.308	-0.013785	-0.0235664	8.269187450408936	27	8.07258064516	3.55412841976	22.0	4.0	8.07258064516	3.55412841976	1001	28766
490.481	-0.00240014	-0.00210909	8.563018321990967	28	8.94642857143	5.13711857415	30.0	4.0	8.94642857143	5.13711857415	1002	29768
509.023	-0.00123168	-0.00113688	8.838160276412964	29	8.69827586207	4.79442892861	23.0	4.0	8.69827586207	4.79442892861	1009	30777
500.47	0.00934999	0.00263264	9.136720180511475	30	10.7234042553	6.9072953344	39.0	4.0	10.7234042553	6.9072953344	1008	31785
498.713	-0.0209426	-0.0388065	9.425412654876709	31	12.5308641975	6.53402569981	31.0	5.0	12.5308641975	6.53402569981	1015	32800
466.845	-0.00433343	-0.0647414	9.714093208312988	32	13.6756756757	6.57001400325	35.0	5.0	13.6756756757	6.57001400325	1012	33812
489.279	0.0085282	0.00512062	9.983378887176514	33	11.9166666667	6.43688835898	44.0	6.0	11.9166666667	6.43688835898	1001	34813
517.233	0.00634467	-0.010092	10.269124031066895	34	14.3714285714	10.2778144266	63.0	6.0	14.3714285714	10.2778144266	1006	35819
583.436	0.00241634	-0.179723	10.561593532562256	35	21.8510638298	15.2301195472	51.0	7.0	21.8510638298	15.2301195472	1027	36846
716.996	0.000141816	-0.250777	10.848026037216187	36	47.4545454545	13.2278194201	60.0	7.0	47.4545454545	13.2278194201	1044	37890
890.322	-0.00678668	-0.0299865	11.147486925125122	37	58.8888888889	2.40113142055	65.0	55.0	58.8888888889	2.40113142055	1060	38950
830.042	-0.00463231	-0.124669	11.409387588500977	38	67.1333333333	2.52630604287	72.0	63.0	67.1333333333	2.52630604287	1007	39957
704.035	-0.000100513	-0.132734	11.678295850753784	39	94.0909090909	3.08823413663	98.0	88.0	94.0909090909	3.08823413663	1035	40992
569.486	0.0110223	-0.00672104	11.963925838470459	40	12.8717948718	7.87296408255	55.0	5.0	12.8717948718	7.87296408255	1004	41996
576.448	-0.0143361	-0.0727703	12.256210088729858	41	17.4482758621	5.96302519206	38.0	7.0	17.4482758621	5.96302519206	1012	43008
553.239	0.00418492	-0.0402316	12.539243936538696	42	75.2857142857	49.5456911366	189.0	27.0	75.2857142857	49.5456911366	1054	44062
1042.77	-0.00245314	-0.00630392	13.33517050743103	43	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	46062
1033.33	0.00650027	0.00947513	14.20686936378479	44	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	48062
996.972	-0.00592975	-0.00988065	15.000026941299438	45	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	50062
1046.93	0.0103471	0.0139049	15.79288363456726	46	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	52062
1066.52	-0.000165999	0.000611237	16.585623264312744	47	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	54062
1045.96	-0.00349752	-0.00780772	17.379637002944946	48	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	56062
752.361	0.00436517	0.00530064	17.878831386566162	49	463.333333333	383.760631413	1000.0	125.0	463.333333333	383.760631413	1390	57452
809.208	0.00931602	0.00638843	18.44106411933899	50	751.0	249.0	1000.0	502.0	751.0	249.0	1502	58954
806.881	-0.00423956	-0.00578334	18.981619358062744	51	742.5	208.5	951.0	534.0	742.5	208.5	1485	60439
591.203	-0.0103397	-0.0178515	19.418978691101074	52	386.333333333	433.929589783	1000.0	78.0	386.333333333	433.929589783	1159	61598
1112.0	0.00148785	0.000256849	20.2118239402771	53	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	63598
1072.1	-0.00431133	-0.00402466	21.00353169441223	54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	65598
1012.37	0.000682284	-0.0146861	21.81973433494568	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	67598
1039.78	0.00246286	0.000869447	22.62984871864319	56	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	69598
1043.64	-0.00267381	-0.0069894	23.427039861679077	57	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	71598
1049.94	0.00373159	0.00238175	24.222198009490967	58	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	73598
1041.83	-0.00702078	-0.00756458	25.03009295463562	59	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	75598
1031.21	-0.00144981	-0.00724904	25.836817026138306	60	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	77598
576.369	-0.00345263	-0.000920519	26.222816705703735	61	369.333333333	321.999309868	824.0	120.0	369.333333333	321.999309868	1108	78706
631.466	-0.010616	-0.0237352	26.558336973190308	62	62.9473684211	71.6669737372	322.0	6.0	62.9473684211	71.6669737372	1196	79902
512.097	0.0183383	-0.000792695	26.962740659713745	63	504.5	495.5	1000.0	9.0	504.5	495.5	1009	80911
1031.94	-0.00148688	-0.00555648	27.78863263130188	64	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	82911
568.517	0.0176892	0.0179353	28.210213661193848	65	354.666666667	456.320306607	1000.0	31.0	354.666666667	456.320306607	1064	83975
541.392	0.00112292	0.00322348	28.616620302200317	66	517.0	483.0	1000.0	34.0	517.0	483.0	1034	85009
543.105	-0.00796254	-0.024057	29.023531436920166	67	517.0	483.0	1000.0	34.0	517.0	483.0	1034	86043
549.537	-0.00675248	-0.0213853	29.452640533447266	68	518.0	482.0	1000.0	36.0	518.0	482.0	1036	87079
561.733	0.000448297	-0.00263216	29.782192945480347	69	209.6	200.677452645	608.0	92.0	209.6	200.677452645	1048	88127
498.423	0.0141514	0.0149878	30.10972285270691	70	335.0	212.400564971	584.0	65.0	335.0	212.400564971	1005	89132
747.721	0.002458	-0.00815875	30.644325256347656	71	731.5	171.5	903.0	560.0	731.5	171.5	1463	90595
1002.2	0.00225551	-0.000377512	31.44187355041504	72	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	92595
1002.11	-0.000695788	-0.00321375	32.23386287689209	73	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	94595
1002.66	0.00348841	0.00535513	33.034282207489014	74	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	96595
1005.12	-0.006701	-0.00699502	33.843648195266724	75	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	98595
1005.32	-0.000713299	-0.000773513	34.64929151535034	76	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	100595
1006.62	0.00725161	0.00718585	35.449254512786865	77	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	102595
1008.4	-0.00285175	-0.00870248	36.244078636169434	78	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	104595
1001.75	-0.00989424	-0.0100825	37.057093381881714	79	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	106595
998.655	9.91948e-05	0.00112328	37.855270862579346	80	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	108595
999.588	0.00672142	0.00671316	38.67030715942383	81	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	110595
999.534	-0.000214135	-0.00122961	39.46638870239258	82	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	112595
1001.95	-0.0120423	-0.0203019	40.256887674331665	83	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	114595
1001.06	-0.000673747	-0.00382898	41.04280400276184	84	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	116595
998.654	-0.00978719	-0.00831802	41.852689266204834	85	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	118595
