LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
17.6933	17.6615	0.8533461093902588	0	20.7148760331	9.96301558415	61.0	8.0	20.7148760331	9.96301558415	5013	5013
19.3623	19.3484	1.63356351852417	1	22.2844444444	11.358363645	76.0	8.0	22.2844444444	11.358363645	5014	10027
19.1722	19.1662	2.453671455383301	2	23.064516129	10.5422338625	55.0	9.0	23.064516129	10.5422338625	5005	15032
26.0218	25.9501	3.259005546569824	3	27.693989071	17.1082799415	100.0	9.0	27.693989071	17.1082799415	5068	20100
27.949	27.9006	4.046516418457031	4	29.8273809524	18.5680848257	114.0	9.0	29.8273809524	18.5680848257	5011	25111
28.2111	28.1927	5.034977674484253	5	31.1552795031	18.4544290182	103.0	9.0	31.1552795031	18.4544290182	5016	30127
30.3388	30.33	6.004849672317505	6	35.048951049	19.1140590703	93.0	8.0	35.048951049	19.1140590703	5012	35139
36.3096	36.2588	7.045565843582153	7	40.528	24.3450449989	136.0	13.0	40.528	24.3450449989	5066	40205
40.3255	40.301	8.038308382034302	8	41.7333333333	28.6794738833	200.0	11.0	41.7333333333	28.6794738833	5008	45213
41.2677	41.2191	9.16120171546936	9	42.175	29.9760077673	191.0	11.0	42.175	29.9760077673	5061	50274
41.9634	41.9165	10.322391033172607	10	47.2075471698	29.1284458586	139.0	12.0	47.2075471698	29.1284458586	5004	55278
42.6821	42.6375	11.461006879806519	11	51.0918367347	28.2080777021	155.0	13.0	51.0918367347	28.2080777021	5007	60285
38.7647	38.7558	12.455504894256592	12	47.6380952381	25.078210542	143.0	15.0	47.6380952381	25.078210542	5002	65287
51.8746	51.8447	13.22336483001709	13	58.7441860465	36.6263934719	197.0	11.0	58.7441860465	36.6263934719	5052	70339
49.7364	49.6695	13.984277248382568	14	59.2705882353	34.0495791579	175.0	12.0	59.2705882353	34.0495791579	5038	75377
52.1375	52.1219	14.717285633087158	15	61.8765432099	36.105942439	200.0	13.0	61.8765432099	36.105942439	5012	80389
59.6029	59.4932	15.457506895065308	16	69.5694444444	43.2267363217	195.0	14.0	69.5694444444	43.2267363217	5009	85398
59.6587	59.6039	16.294769287109375	17	73.8285714286	40.7101150746	200.0	16.0	73.8285714286	40.7101150746	5168	90566
66.9256	66.8787	17.113136529922485	18	78.4769230769	48.0080466628	200.0	18.0	78.4769230769	48.0080466628	5101	95667
64.621	64.5673	17.882306814193726	19	79.9841269841	44.3412066276	200.0	19.0	79.9841269841	44.3412066276	5039	100706
61.4759	61.4293	18.688977479934692	20	77.3692307692	42.3238682363	188.0	22.0	77.3692307692	42.3238682363	5029	105735
75.9109	75.8517	19.470356941223145	21	94.2	52.4357268906	200.0	13.0	94.2	52.4357268906	5181	110916
84.2672	84.1237	20.331334829330444	22	104.244897959	59.4232589014	200.0	19.0	104.244897959	59.4232589014	5108	116024
86.9527	86.819	22.810864210128784	23	111.288888889	59.2777350828	200.0	21.0	111.288888889	59.2777350828	5008	121032
86.9709	86.9492	23.59015154838562	24	123.341463415	49.1258263785	200.0	24.0	123.341463415	49.1258263785	5057	126089
88.0119	87.959	24.388384103775024	25	112.844444444	60.4093280345	200.0	24.0	112.844444444	60.4093280345	5078	131167
87.9471	87.9069	25.12573528289795	26	122.926829268	52.6856254955	200.0	32.0	122.926829268	52.6856254955	5040	136207
95.1928	95.1262	25.92233967781067	27	130.512820513	58.5678969537	200.0	19.0	130.512820513	58.5678969537	5090	141297
95.9301	95.9328	26.67176604270935	28	136.459459459	54.8721337217	200.0	24.0	136.459459459	54.8721337217	5049	146346
93.2734	93.2281	27.426709413528442	29	129.666666667	56.5927119224	200.0	16.0	129.666666667	56.5927119224	5057	151403
97.2711	97.2389	28.208231210708618	30	140.444444444	55.507479198	200.0	22.0	140.444444444	55.507479198	5056	156459
100.948	100.865	29.016621828079224	31	150.294117647	53.6056018867	200.0	23.0	150.294117647	53.6056018867	5110	161569
105.664	105.633	29.802735567092896	32	166.966666667	40.5861087347	200.0	68.0	166.966666667	40.5861087347	5009	166578
97.2889	97.271	30.620418071746826	33	138.567567568	58.3954554602	200.0	24.0	138.567567568	58.3954554602	5127	171705
110.087	110.104	31.451550245285034	34	170.933333333	47.0658640158	200.0	27.0	170.933333333	47.0658640158	5128	176833
106.539	106.485	32.248852491378784	35	167.2	44.1085025817	200.0	36.0	167.2	44.1085025817	5016	181849
108.953	108.983	33.06336784362793	36	172.9	42.5420184445	200.0	20.0	172.9	42.5420184445	5187	187036
107.865	107.843	33.84098696708679	37	170.166666667	44.6811543669	200.0	45.0	170.166666667	44.6811543669	5105	192141
105.643	105.661	34.73829913139343	38	169.366666667	39.3568997198	200.0	77.0	169.366666667	39.3568997198	5081	197222
111.549	111.543	35.5115122795105	39	181.821428571	36.7822293772	200.0	71.0	181.821428571	36.7822293772	5091	202313
109.774	109.774	36.29417872428894	40	179.035714286	36.3499677175	200.0	72.0	179.035714286	36.3499677175	5013	207326
107.453	107.423	37.087467432022095	41	173.172413793	39.2999683825	200.0	62.0	173.172413793	39.2999683825	5022	212348
110.364	110.345	37.850712060928345	42	184.714285714	27.6674862595	200.0	79.0	184.714285714	27.6674862595	5172	217520
110.574	110.566	38.68917942047119	43	181.428571429	36.1706556	200.0	78.0	181.428571429	36.1706556	5080	222600
108.287	108.208	39.84333682060242	44	179.75	32.017433867	200.0	80.0	179.75	32.017433867	5033	227633
