LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
7.71546	7.67159	0.9522178173065186	0	17.7695035461	7.64830156145	51.0	8.0	17.7695035461	7.64830156145	5011	5011
8.87437	8.81356	1.759969711303711	1	19.96812749	9.43667192244	57.0	8.0	19.96812749	9.43667192244	5012	10023
9.78183	9.71647	2.556483507156372	2	21.5622317597	11.1029802362	64.0	8.0	21.5622317597	11.1029802362	5024	15047
10.8323	10.7743	3.2913012504577637	3	23.6698113208	12.7191889635	104.0	9.0	23.6698113208	12.7191889635	5018	20065
10.9427	10.8799	4.1041247844696045	4	25.005	12.4364373918	79.0	8.0	25.005	12.4364373918	5001	25066
13.5536	13.4875	4.946346282958984	5	28.9248554913	17.3655068251	157.0	9.0	28.9248554913	17.3655068251	5004	30070
14.9269	14.8698	5.731155872344971	6	32.7843137255	19.0424160796	136.0	10.0	32.7843137255	19.0424160796	5016	35086
15.4677	15.3952	6.518564224243164	7	35.7785714286	19.1677064196	121.0	12.0	35.7785714286	19.1677064196	5009	40095
13.3494	13.3051	7.317904949188232	8	32.6428571429	15.3473541742	85.0	11.0	32.6428571429	15.3473541742	5027	45122
14.9774	14.9527	8.17768120765686	9	35.4680851064	18.3262603474	104.0	11.0	35.4680851064	18.3262603474	5001	50123
16.0064	15.9739	8.964160919189453	10	38.3358778626	19.840051514	126.0	11.0	38.3358778626	19.840051514	5022	55145
17.3396	17.2867	9.776063680648804	11	43.8869565217	20.515853983	105.0	11.0	43.8869565217	20.515853983	5047	60192
16.6119	16.5731	10.591617822647095	12	42.5338983051	19.6022664737	101.0	12.0	42.5338983051	19.6022664737	5019	65211
17.3371	17.3122	11.426257371902466	13	43.9824561404	21.1257647868	146.0	9.0	43.9824561404	21.1257647868	5014	70225
18.0379	18.0041	12.216309309005737	14	46.3981481481	22.0134385786	142.0	17.0	46.3981481481	22.0134385786	5011	75236
17.7021	17.6925	13.189274311065674	15	48.2596153846	18.8317424294	109.0	20.0	48.2596153846	18.8317424294	5019	80255
19.7248	19.6957	14.427348375320435	16	51.7755102041	24.0660361117	143.0	16.0	51.7755102041	24.0660361117	5074	85329
19.3739	19.3438	15.50197720527649	17	51.3571428571	23.892723681	147.0	15.0	51.3571428571	23.892723681	5033	90362
20.5636	20.5245	16.41896939277649	18	53.5106382979	26.861244993	142.0	15.0	53.5106382979	26.861244993	5030	95392
19.2448	19.2273	17.369529247283936	19	53.4468085106	21.9198816881	120.0	13.0	53.4468085106	21.9198816881	5024	100416
21.3664	21.3464	18.23022174835205	20	57.2159090909	26.7851081691	187.0	21.0	57.2159090909	26.7851081691	5035	105451
19.029	19.0131	19.051433801651	21	54.5434782609	20.929183413	130.0	18.0	54.5434782609	20.929183413	5018	110469
20.6254	20.6032	19.84160590171814	22	58.2441860465	23.9471006385	147.0	22.0	58.2441860465	23.9471006385	5009	115478
19.2755	19.2636	20.62189793586731	23	55.1318681319	21.7494265637	150.0	22.0	55.1318681319	21.7494265637	5017	120495
22.5674	22.5509	21.482064962387085	24	64.1125	26.8867968295	153.0	26.0	64.1125	26.8867968295	5129	125624
22.5807	22.5507	22.384317874908447	25	63.525	27.8854688861	183.0	26.0	63.525	27.8854688861	5082	130706
20.2483	20.2328	23.28444218635559	26	60.3095238095	21.984830371	126.0	20.0	60.3095238095	21.984830371	5066	135772
21.7213	21.7138	24.1712007522583	27	60.0714285714	27.8981078528	173.0	17.0	60.0714285714	27.8981078528	5046	140818
19.6095	19.6027	24.97998881340027	28	59.4117647059	20.1962687979	151.0	25.0	59.4117647059	20.1962687979	5050	145868
22.4583	22.4412	25.878098964691162	29	63.9	28.1658481143	198.0	24.0	63.9	28.1658481143	5112	150980
22.2106	22.1932	26.763293981552124	30	62.6	28.7752497817	200.0	20.0	62.6	28.7752497817	5008	155988
23.1733	23.1501	27.632257223129272	31	70.1388888889	25.6684553249	159.0	17.0	70.1388888889	25.6684553249	5050	161038
23.1724	23.1584	28.465998888015747	32	67.72	28.2288552135	157.0	22.0	67.72	28.2288552135	5079	166117
23.7974	23.7661	29.3385910987854	33	69.5694444444	29.6679898529	200.0	28.0	69.5694444444	29.6679898529	5009	171126
25.0853	25.0548	30.128684043884277	34	74.9253731343	31.4682087538	198.0	24.0	74.9253731343	31.4682087538	5020	176146
24.3885	24.3645	31.021484851837158	35	74.9253731343	26.5562278346	174.0	27.0	74.9253731343	26.5562278346	5020	181166
23.4722	23.4496	31.89565134048462	36	72.2142857143	25.8351327001	139.0	21.0	72.2142857143	25.8351327001	5055	186221
24.4145	24.3863	32.73239541053772	37	75.9090909091	27.2967570905	148.0	31.0	75.9090909091	27.2967570905	5010	191231
26.1865	26.1559	33.6136155128479	38	77.8769230769	32.9836825356	196.0	38.0	77.8769230769	32.9836825356	5062	196293
