LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-0.00423301	-0.0107875	0.8563623428344727	0	23.2837209302	12.8511501654	82.0	9.0	23.2837209302	12.8511501654	5006	5006
-0.0092605	-0.0159235	1.631803035736084	1	25.5431472081	14.6687421474	96.0	9.0	25.5431472081	14.6687421474	5032	10038
-0.0133792	-0.0204068	2.4037058353424072	2	28.6818181818	17.7521096407	93.0	8.0	28.6818181818	17.7521096407	5048	15086
-0.0123951	-0.0173256	3.157017946243286	3	31.375	17.5188291561	112.0	10.0	31.375	17.5188291561	5020	20106
-0.0125823	-0.0178416	3.9088337421417236	4	30.6280487805	17.2086037358	108.0	12.0	30.6280487805	17.2086037358	5023	25129
-0.0106521	-0.013887	4.670274019241333	5	39.4015748031	24.9207436102	157.0	10.0	39.4015748031	24.9207436102	5004	30133
-0.0137351	-0.0174583	5.434823989868164	6	37.1111111111	21.368951747	107.0	11.0	37.1111111111	21.368951747	5010	35143
-0.012451	-0.0152441	6.193768739700317	7	41.3966942149	24.5580706092	119.0	10.0	41.3966942149	24.5580706092	5009	40152
-0.00964867	-0.011767	6.9684529304504395	8	46.7314814815	30.4675317411	172.0	10.0	46.7314814815	30.4675317411	5047	45199
-0.0104801	-0.0123561	7.74826717376709	9	51.4183673469	32.7915256192	200.0	12.0	51.4183673469	32.7915256192	5039	50238
-0.00793126	-0.00954985	8.505119323730469	10	48.9708737864	30.8354405576	160.0	10.0	48.9708737864	30.8354405576	5044	55282
-0.0120557	-0.0140687	9.20116138458252	11	48.6310679612	25.876476663	160.0	15.0	48.6310679612	25.876476663	5009	60291
-0.00526985	-0.00664098	9.911405801773071	12	48.8252427184	26.3270790435	170.0	13.0	48.8252427184	26.3270790435	5029	65320
-0.00736332	-0.00899683	10.668482780456543	13	53.2210526316	23.2710251046	130.0	16.0	53.2210526316	23.2710251046	5056	70376
-0.00642043	-0.00787828	11.408042192459106	14	57.7586206897	28.7462003555	153.0	13.0	57.7586206897	28.7462003555	5025	75401
-0.00628453	-0.00739193	12.12416386604309	15	62.675	31.6250592885	189.0	13.0	62.675	31.6250592885	5014	80415
-0.00652663	-0.00802465	12.841675758361816	16	62.0864197531	28.1131740705	148.0	19.0	62.0864197531	28.1131740705	5029	85444
-0.0088379	-0.0101477	13.580240249633789	17	61.9135802469	30.0033732798	200.0	13.0	61.9135802469	30.0033732798	5015	90459
-0.00821453	-0.00948189	14.350947856903076	18	62.6625	30.3981676051	181.0	22.0	62.6625	30.3981676051	5013	95472
-0.0112031	-0.0126625	15.093602657318115	19	66.1298701299	30.6790468067	184.0	15.0	66.1298701299	30.6790468067	5092	100564
-0.00549745	-0.00666531	15.875864028930664	20	74.6865671642	37.9482007342	200.0	22.0	74.6865671642	37.9482007342	5004	105568
-0.00872195	-0.0100579	16.62184762954712	21	73.2173913043	36.1301470192	187.0	17.0	73.2173913043	36.1301470192	5052	110620
-0.00594477	-0.0074419	17.37570333480835	22	78.25	44.050397274	200.0	26.0	78.25	44.050397274	5008	115628
-0.00597097	-0.00753454	18.14272379875183	23	82.7704918033	32.6252408785	184.0	25.0	82.7704918033	32.6252408785	5049	120677
-0.00928928	-0.0107148	18.907787322998047	24	98.1176470588	47.1882533816	200.0	15.0	98.1176470588	47.1882533816	5004	125681
-0.00546458	-0.00757464	19.678942680358887	25	91.2	39.4606363124	200.0	23.0	91.2	39.4606363124	5016	130697
-0.00110338	-0.00282662	20.47019076347351	26	102.591836735	47.5097920594	200.0	31.0	102.591836735	47.5097920594	5027	135724
-0.00791048	-0.0110046	21.250882625579834	27	109.659574468	45.1872118022	200.0	37.0	109.659574468	45.1872118022	5154	140878
-0.00317431	-0.00488229	22.042803525924683	28	120.69047619	52.3488700452	200.0	28.0	120.69047619	52.3488700452	5069	145947
-0.00165532	-0.0042466	22.830761432647705	29	132.368421053	47.9837807316	200.0	28.0	132.368421053	47.9837807316	5030	150977
-0.00552165	-0.00722615	23.683655738830566	30	141.277777778	43.812486241	200.0	48.0	141.277777778	43.812486241	5086	156063
-0.013385	-0.0163052	24.479382753372192	31	137.945945946	57.3886446749	200.0	15.0	137.945945946	57.3886446749	5104	161167
-0.00677242	-0.00919098	25.270114183425903	32	162.419354839	47.8430054844	200.0	25.0	162.419354839	47.8430054844	5035	166202
-0.0068495	-0.00685701	26.132620811462402	33	154.606060606	52.7199228594	200.0	26.0	154.606060606	52.7199228594	5102	171304
-0.00655311	-0.00679114	26.96795654296875	34	152.151515152	59.7525813882	200.0	24.0	152.151515152	59.7525813882	5021	176325
-0.00222348	-0.00246869	27.775842666625977	35	151.029411765	50.5350695319	200.0	33.0	151.029411765	50.5350695319	5135	181460
-0.0065816	-0.0066098	28.617594003677368	36	156.151515152	51.6973249482	200.0	32.0	156.151515152	51.6973249482	5153	186613
-0.0061422	-0.00628	29.408215761184692	37	153.333333333	44.1578893508	200.0	38.0	153.333333333	44.1578893508	5060	191673
-0.00901916	-0.0094003	30.206466674804688	38	152.878787879	56.0593611655	200.0	17.0	152.878787879	56.0593611655	5045	196718
-0.0124377	-0.0131741	31.005511045455933	39	147.441176471	57.0413633079	200.0	29.0	147.441176471	57.0413633079	5013	201731
-0.00364288	-0.00413275	31.789942026138306	40	154.242424242	56.5128198398	200.0	18.0	154.242424242	56.5128198398	5090	206821
-0.00112001	-0.00151737	32.60928297042847	41	148.911764706	44.8358887546	200.0	79.0	148.911764706	44.8358887546	5063	211884
-0.00882294	-0.00941015	33.41224503517151	42	162.258064516	46.4674480178	200.0	22.0	162.258064516	46.4674480178	5030	216914
-0.00270668	-0.00311522	34.224600315093994	43	176.275862069	37.5682336021	200.0	85.0	176.275862069	37.5682336021	5112	222026
-0.0108262	-0.0115269	35.03720259666443	44	168.5	44.338658828	200.0	65.0	168.5	44.338658828	5055	227081
0.000331876	9.51292e-05	35.89370679855347	45	180.107142857	29.9682442473	200.0	86.0	180.107142857	29.9682442473	5043	232124
-0.00554046	-0.00615313	36.70680499076843	46	188.888888889	33.1017883967	200.0	53.0	188.888888889	33.1017883967	5100	237224
0.00116489	0.00120236	37.54301142692566	47	184.035714286	34.6775783292	200.0	62.0	184.035714286	34.6775783292	5153	242377
-0.0099376	-0.0111558	38.364651679992676	48	170.8	42.3378475283	200.0	45.0	170.8	42.3378475283	5124	247501
-0.00218926	-0.00219471	39.29522633552551	49	190.851851852	19.4225979566	200.0	143.0	190.851851852	19.4225979566	5153	252654
-0.00252904	-0.00299711	40.30258584022522	50	184.142857143	34.6025538753	200.0	56.0	184.142857143	34.6025538753	5156	257810
-0.0060726	-0.00650442	41.32512378692627	51	189.111111111	21.4723479945	200.0	116.0	189.111111111	21.4723479945	5106	262916
-0.00742001	-0.0077674	42.30453610420227	52	185.703703704	31.6049864969	200.0	40.0	185.703703704	31.6049864969	5014	267930
