LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
16.3219	16.3029	0.23937582969665527	0	19.9803921569	8.4540051909	47.0	8.0	19.9803921569	8.4540051909	1019	1019
19.9718	19.8872	0.37337279319763184	1	24.487804878	10.4183748352	51.0	9.0	24.487804878	10.4183748352	1004	2023
21.1822	21.1618	0.5038557052612305	2	26.0256410256	11.1803104849	58.0	10.0	26.0256410256	11.1803104849	1015	3038
23.092	23.0149	0.633732795715332	3	26.025	14.3744347715	79.0	10.0	26.025	14.3744347715	1041	4079
23.6916	23.6574	0.7626049518585205	4	28.9428571429	13.2275531851	74.0	10.0	28.9428571429	13.2275531851	1013	5092
26.2536	26.2205	0.8919987678527832	5	28.8285714286	17.001656582	98.0	11.0	28.8285714286	17.001656582	1009	6101
24.6207	24.5851	1.0190410614013672	6	30.4848484848	13.8413548385	63.0	9.0	30.4848484848	13.8413548385	1006	7107
28.8209	28.7582	1.155897855758667	7	33.9333333333	18.3301815473	78.0	13.0	33.9333333333	18.3301815473	1018	8125
43.8581	43.8256	1.285979986190796	8	49.4285714286	29.2323555713	104.0	11.0	49.4285714286	29.2323555713	1038	9163
37.2411	37.2081	1.415980339050293	9	43.6666666667	24.3578643472	111.0	10.0	43.6666666667	24.3578643472	1048	10211
36.9811	36.9474	1.5431602001190186	10	42.9583333333	24.5687456719	122.0	18.0	42.9583333333	24.5687456719	1031	11242
35.1231	35.0962	1.6755492687225342	11	41.1153846154	23.3655349789	121.0	11.0	41.1153846154	23.3655349789	1069	12311
29.5653	29.5443	1.8052914142608643	12	38.9259259259	17.0726680549	74.0	15.0	38.9259259259	17.0726680549	1051	13362
39.1371	39.1612	1.9352564811706543	13	48.7142857143	24.1860700899	136.0	17.0	48.7142857143	24.1860700899	1023	14385
47.9438	47.8712	2.0764336585998535	14	54.2380952381	34.0572413975	159.0	11.0	54.2380952381	34.0572413975	1139	15524
33.6472	33.605	2.210714101791382	15	45.2608695652	19.8104438668	100.0	23.0	45.2608695652	19.8104438668	1041	16565
44.1528	44.1283	2.3438291549682617	16	48.8636363636	31.9762631488	166.0	13.0	48.8636363636	31.9762631488	1075	17640
40.0154	39.98	2.472794532775879	17	54.5263157895	23.0545541135	119.0	24.0	54.5263157895	23.0545541135	1036	18676
41.9159	41.8661	2.601823091506958	18	53.3684210526	27.7739190918	112.0	22.0	53.3684210526	27.7739190918	1014	19690
39.0897	39.0287	2.726125717163086	19	52.8421052632	23.910497932	117.0	17.0	52.8421052632	23.910497932	1004	20694
39.1468	39.1264	2.8557379245758057	20	54.1052631579	23.2331313721	99.0	15.0	54.1052631579	23.2331313721	1028	21722
45.0614	45.0695	2.995681047439575	21	58.7368421053	29.0586378231	131.0	21.0	58.7368421053	29.0586378231	1116	22838
39.5648	39.5512	3.1251108646392822	22	53.1578947368	24.2145305613	101.0	18.0	53.1578947368	24.2145305613	1010	23848
54.8317	54.773	3.2573153972625732	23	77.9230769231	29.5386618583	157.0	44.0	77.9230769231	29.5386618583	1013	24861
45.3315	45.3308	3.3846962451934814	24	57.0	31.5524255099	139.0	15.0	57.0	31.5524255099	1026	25887
39.6128	39.6245	3.5115177631378174	25	56.2777777778	21.2231675182	95.0	21.0	56.2777777778	21.2231675182	1013	26900
48.8733	48.837	3.6423728466033936	26	69.2666666667	28.4686182001	116.0	19.0	69.2666666667	28.4686182001	1039	27939
54.2274	54.2224	3.7770371437072754	27	72.7333333333	34.8835523166	141.0	23.0	72.7333333333	34.8835523166	1091	29030
46.6364	46.6003	3.903062105178833	28	67.2	28.0670625467	139.0	37.0	67.2	28.0670625467	1008	30038
63.1547	63.0958	4.039083480834961	29	89.0833333333	36.6161583943	182.0	29.0	89.0833333333	36.6161583943	1069	31107
60.2912	60.2338	4.176696062088013	30	81.9230769231	37.0622377556	182.0	34.0	81.9230769231	37.0622377556	1065	32172
56.699	56.6977	4.308076858520508	31	79.2307692308	34.7234211496	151.0	28.0	79.2307692308	34.7234211496	1030	33202
61.3586	61.3345	4.4380269050598145	32	78.0769230769	43.5120876901	164.0	22.0	78.0769230769	43.5120876901	1015	34217
52.9249	52.8912	4.563767910003662	33	77.7692307692	25.9560393036	121.0	41.0	77.7692307692	25.9560393036	1011	35228
58.7689	58.7649	4.694804906845093	34	80.8461538462	37.7335723886	186.0	28.0	80.8461538462	37.7335723886	1051	36279
65.564	65.5348	4.828173875808716	35	98.7272727273	34.5834719039	150.0	44.0	98.7272727273	34.5834719039	1086	37365
62.5392	62.5072	4.964464426040649	36	79.0	44.9237449145	200.0	37.0	79.0	44.9237449145	1106	38471
74.4039	74.3327	5.09680438041687	37	105.2	43.8606885491	200.0	35.0	105.2	43.8606885491	1052	39523
60.3891	60.3379	5.229926824569702	38	79.1538461538	41.6077769244	150.0	18.0	79.1538461538	41.6077769244	1029	40552
77.0216	76.9361	5.364569425582886	39	103.2	48.97917925	200.0	41.0	103.2	48.97917925	1032	41584
77.5022	77.4199	5.494717836380005	40	103.2	50.9446758749	200.0	32.0	103.2	50.9446758749	1032	42616
71.1124	71.0803	5.63623833656311	41	108.2	33.8520309583	141.0	42.0	108.2	33.8520309583	1082	43698
62.0298	62.0574	5.771127700805664	42	89.5	33.1700165812	150.0	30.0	89.5	33.1700165812	1074	44772
85.5919	85.5705	5.897886276245117	43	113.888888889	56.4002451619	200.0	17.0	113.888888889	56.4002451619	1025	45797
75.9802	75.9178	6.030744552612305	44	96.0909090909	53.3060708558	200.0	25.0	96.0909090909	53.3060708558	1057	46854
75.2133	75.1977	6.165975093841553	45	102.3	46.8808063071	190.0	17.0	102.3	46.8808063071	1023	47877
94.5545	94.3839	6.293484449386597	46	147.0	29.3452356805	181.0	94.0	147.0	29.3452356805	1029	48906
83.682	83.6768	6.427752494812012	47	130.75	29.7814959329	184.0	80.0	130.75	29.7814959329	1046	49952
90.2488	90.2599	6.5516932010650635	48	125.5	54.4357419349	198.0	29.0	125.5	54.4357419349	1004	50956
74.893	74.8864	6.6863367557525635	49	119.888888889	19.5075167532	139.0	86.0	119.888888889	19.5075167532	1079	52035
87.683	87.6561	6.821481466293335	50	137.0	30.8787953133	200.0	106.0	137.0	30.8787953133	1096	53131
88.6049	88.5916	7.000345706939697	51	138.75	27.6032153924	200.0	96.0	138.75	27.6032153924	1110	54241
97.2226	97.1901	7.134511947631836	52	148.571428571	38.8765707734	200.0	89.0	148.571428571	38.8765707734	1040	55281
86.5709	86.5676	7.28261923789978	53	136.625	28.5041115455	200.0	96.0	136.625	28.5041115455	1093	56374
96.6102	96.4486	7.422339200973511	54	153.285714286	32.6046196802	200.0	113.0	153.285714286	32.6046196802	1073	57447
103.98	103.887	7.552623510360718	55	167.833333333	26.8478221753	200.0	128.0	167.833333333	26.8478221753	1007	58454
88.9933	88.8772	7.696005344390869	56	132.125	43.2880973825	200.0	38.0	132.125	43.2880973825	1057	59511
94.2921	94.2033	7.852198600769043	57	126.375	59.935251522	200.0	38.0	126.375	59.935251522	1011	60522
95.7992	95.7526	8.009638786315918	58	143.142857143	41.0310982111	200.0	70.0	143.142857143	41.0310982111	1002	61524
99.708	99.6844	8.186757326126099	59	154.0	41.9148797309	200.0	85.0	154.0	41.9148797309	1078	62602
99.9475	99.9076	8.352638483047485	60	143.714285714	55.2312393118	200.0	54.0	143.714285714	55.2312393118	1006	63608
99.9788	99.944	8.527458190917969	61	152.0	47.7254050346	200.0	54.0	152.0	47.7254050346	1064	64672
99.4012	99.3055	8.688957214355469	62	160.0	27.0660567607	200.0	133.0	160.0	27.0660567607	1120	65792
96.1521	96.1667	8.84128999710083	63	149.142857143	39.4440963224	200.0	87.0	149.142857143	39.4440963224	1044	66836
105.866	105.883	9.00033950805664	64	169.333333333	31.0089592788	200.0	127.0	169.333333333	31.0089592788	1016	67852
95.3878	95.4003	9.155835151672363	65	150.0	30.9884771211	200.0	121.0	150.0	30.9884771211	1050	68902
111.925	111.903	9.319648027420044	66	167.166666667	55.0497249968	200.0	48.0	167.166666667	55.0497249968	1003	69905
98.9012	98.629	9.489352941513062	67	157.428571429	31.0384882864	200.0	114.0	157.428571429	31.0384882864	1102	71007
104.684	104.661	9.632415771484375	68	167.5	34.0085773494	200.0	124.0	167.5	34.0085773494	1005	72012
105.372	105.449	9.796138525009155	69	162.142857143	46.856707315	200.0	76.0	162.142857143	46.856707315	1135	73147
97.0837	97.0895	9.964269161224365	70	148.428571429	39.0232792898	200.0	85.0	148.428571429	39.0232792898	1039	74186
73.7021	73.6465	10.131030797958374	71	110.7	36.7860027728	158.0	19.0	110.7	36.7860027728	1107	75293
91.5741	91.5531	10.314648389816284	72	143.285714286	37.6210969906	196.0	91.0	143.285714286	37.6210969906	1003	76296
81.6262	81.5703	10.468677282333374	73	132.0	28.319604517	178.0	93.0	132.0	28.319604517	1056	77352
86.7237	86.5688	10.660857439041138	74	134.125	42.1112737281	200.0	55.0	134.125	42.1112737281	1073	78425
91.7303	91.7647	10.853366374969482	75	129.625	52.9054285967	200.0	55.0	129.625	52.9054285967	1037	79462
79.4894	79.4119	10.998964071273804	76	120.111111111	39.5065239182	200.0	65.0	120.111111111	39.5065239182	1081	80543
71.0622	71.0085	11.177135229110718	77	101.7	46.6048280761	173.0	27.0	101.7	46.6048280761	1017	81560
68.4614	68.4549	11.349948406219482	78	111.444444444	17.8643724342	132.0	72.0	111.444444444	17.8643724342	1003	82563
79.0154	79.0967	11.542030811309814	79	126.444444444	28.2099710942	200.0	98.0	126.444444444	28.2099710942	1138	83701
71.0323	70.9998	11.71530532836914	80	105.909090909	37.1885968482	200.0	57.0	105.909090909	37.1885968482	1165	84866
73.5306	73.5372	11.850669384002686	81	114.333333333	35.2041664201	171.0	58.0	114.333333333	35.2041664201	1029	85895
82.8938	82.8948	11.99071741104126	82	125.25	46.49126262	200.0	80.0	125.25	46.49126262	1002	86897
72.6485	72.5828	12.127725601196289	83	116.111111111	34.6552687815	174.0	65.0	116.111111111	34.6552687815	1045	87942
72.8354	72.7746	12.26841402053833	84	114.333333333	36.778616976	180.0	48.0	114.333333333	36.778616976	1029	88971
84.3941	84.4131	12.410292387008667	85	130.75	37.8772689089	184.0	64.0	130.75	37.8772689089	1046	90017
90.5973	90.5504	12.559422254562378	86	148.428571429	34.049783481	200.0	103.0	148.428571429	34.049783481	1039	91056
81.2212	81.1789	12.716464519500732	87	135.0	24.8294180359	176.0	105.0	135.0	24.8294180359	1080	92136
90.3801	90.3712	12.863980054855347	88	147.285714286	35.4832527327	191.0	86.0	147.285714286	35.4832527327	1031	93167
76.2803	76.2309	13.014134407043457	89	119.777777778	33.1889465461	160.0	50.0	119.777777778	33.1889465461	1078	94245
86.7511	86.6972	13.176339149475098	90	140.375	38.7167195795	200.0	83.0	140.375	38.7167195795	1123	95368
86.6417	86.4031	13.337268114089966	91	130.875	51.2675274906	200.0	62.0	130.875	51.2675274906	1047	96415
71.9056	71.9688	13.523403644561768	92	116.444444444	31.7424045547	200.0	88.0	116.444444444	31.7424045547	1048	97463
89.4155	89.3243	13.66951036453247	93	148.0	29.2818812823	200.0	107.0	148.0	29.2818812823	1036	98499
78.844	78.8146	13.81313681602478	94	130.375	24.5862639496	176.0	102.0	130.375	24.5862639496	1043	99542
76.7734	76.8621	13.958208799362183	95	128.375	22.5662219922	161.0	93.0	128.375	22.5662219922	1027	100569
100.347	100.216	14.122673988342285	96	165.285714286	32.9662783796	200.0	107.0	165.285714286	32.9662783796	1157	101726
107.479	107.095	14.283074140548706	97	178.666666667	38.7068756453	200.0	94.0	178.666666667	38.7068756453	1072	102798
101.527	101.62	14.441143989562988	98	173.333333333	31.9774225909	200.0	115.0	173.333333333	31.9774225909	1040	103838
92.8326	92.775	14.603217601776123	99	158.0	23.3544122476	200.0	131.0	158.0	23.3544122476	1106	104944
