LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
8.35718	8.30991	0.2729523181915283	0	19.2830188679	8.29042948677	44.0	8.0	19.2830188679	8.29042948677	1022	1022
8.20769	8.15982	0.43787550926208496	1	18.7222222222	8.43585089051	48.0	9.0	18.7222222222	8.43585089051	1011	2033
12.8754	12.773	0.6020863056182861	2	25.95	16.3522934171	94.0	8.0	25.95	16.3522934171	1038	3071
8.96376	8.91482	0.7595734596252441	3	21.8260869565	8.4629739552	46.0	10.0	21.8260869565	8.4629739552	1004	4075
12.8758	12.7845	0.9123165607452393	4	29.6176470588	14.7309492244	72.0	12.0	29.6176470588	14.7309492244	1007	5082
13.4597	13.4055	1.0671229362487793	5	28.0	17.5261709072	112.0	11.0	28.0	17.5261709072	1008	6090
11.513	11.4826	1.2072186470031738	6	26.5263157895	13.4550652605	63.0	11.0	26.5263157895	13.4550652605	1008	7098
16.8409	16.769	1.3512592315673828	7	35.5172413793	22.5153138532	105.0	12.0	35.5172413793	22.5153138532	1030	8128
13.664	13.5959	1.5110325813293457	8	34.9310344828	14.3669425022	70.0	14.0	34.9310344828	14.3669425022	1013	9141
15.557	15.5072	1.6556365489959717	9	36.0714285714	19.7048372803	111.0	12.0	36.0714285714	19.7048372803	1010	10151
16.9689	16.9398	1.825756549835205	10	42.5416666667	19.5362465831	88.0	17.0	42.5416666667	19.5362465831	1021	11172
17.2613	17.1961	1.9987146854400635	11	44.5217391304	19.8008993323	100.0	16.0	44.5217391304	19.8008993323	1024	12196
17.5795	17.5062	2.1519722938537598	12	47.3181818182	18.9410241723	102.0	19.0	47.3181818182	18.9410241723	1041	13237
18.8863	18.8728	2.3029494285583496	13	46.652173913	23.0568459996	92.0	12.0	46.652173913	23.0568459996	1073	14310
23.4071	23.3688	2.4487082958221436	14	59.4117647059	29.2977791239	113.0	22.0	59.4117647059	29.2977791239	1010	15320
17.1636	17.1274	2.6143431663513184	15	45.5454545455	19.5743971757	90.0	18.0	45.5454545455	19.5743971757	1002	16322
16.2503	16.2454	2.7892868518829346	16	42.75	18.2237253784	84.0	12.0	42.75	18.2237253784	1026	17348
20.3024	20.2754	2.9479849338531494	17	54.0	24.4583426731	101.0	24.0	54.0	24.4583426731	1026	18374
21.2967	21.288	3.1221764087677	18	51.0	29.8144260384	136.0	14.0	51.0	29.8144260384	1020	19394
16.274	16.2409	3.2852158546447754	19	48.3333333333	15.0438512462	82.0	20.0	48.3333333333	15.0438512462	1015	20409
18.7474	18.7409	3.459780216217041	20	48.9047619048	23.2786531314	111.0	25.0	48.9047619048	23.2786531314	1027	21436
16.5739	16.5554	3.616361141204834	21	50.5	12.5279687101	75.0	23.0	50.5	12.5279687101	1010	22446
17.4179	17.4164	3.77856707572937	22	48.0952380952	20.0734479016	93.0	18.0	48.0952380952	20.0734479016	1010	23456
15.269	15.2429	3.9424033164978027	23	48.1428571429	11.1836858831	74.0	26.0	48.1428571429	11.1836858831	1011	24467
20.0872	20.0619	4.1022255420684814	24	57.6111111111	23.4737179011	119.0	26.0	57.6111111111	23.4737179011	1037	25504
22.0736	22.0321	4.254024505615234	25	64.375	26.2818259449	128.0	31.0	64.375	26.2818259449	1030	26534
18.9593	18.9431	4.411845922470093	26	54.5789473684	21.5023029109	120.0	25.0	54.5789473684	21.5023029109	1037	27571
20.0537	20.0312	4.558821439743042	27	58.9411764706	22.5165836617	124.0	25.0	58.9411764706	22.5165836617	1002	28573
19.1176	19.065	4.733685493469238	28	59.1764705882	20.0682227418	90.0	18.0	59.1764705882	20.0682227418	1006	29579
15.5622	15.5482	4.907008409500122	29	47.6666666667	15.0596696774	79.0	21.0	47.6666666667	15.0596696774	1001	30580
18.8959	18.8896	5.106486082077026	30	58.3333333333	16.2754074876	93.0	34.0	58.3333333333	16.2754074876	1050	31630
21.5541	21.5216	5.2733659744262695	31	67.3333333333	22.8667638482	115.0	35.0	67.3333333333	22.8667638482	1010	32640
18.7447	18.7278	5.456220626831055	32	60.2352941176	15.9430213823	91.0	33.0	60.2352941176	15.9430213823	1024	33664
22.6596	22.6579	5.6441192626953125	33	68.6875	23.3872795286	121.0	31.0	68.6875	23.3872795286	1099	34763
26.9508	26.931	5.817304849624634	34	78.2307692308	33.7779032144	166.0	39.0	78.2307692308	33.7779032144	1017	35780
24.4434	24.4309	6.02101469039917	35	74.0666666667	27.5885644586	124.0	34.0	74.0666666667	27.5885644586	1111	36891
20.8694	20.8627	6.197286367416382	36	64.875	21.8828557323	114.0	34.0	64.875	21.8828557323	1038	37929
25.724	25.7008	6.372558355331421	37	77.2307692308	28.7245642563	132.0	49.0	77.2307692308	28.7245642563	1004	38933
26.4614	26.4376	6.554172515869141	38	75.0714285714	35.7460572965	146.0	29.0	75.0714285714	35.7460572965	1051	39984
20.2379	20.2213	6.705120325088501	39	64.875	18.2991632322	109.0	42.0	64.875	18.2991632322	1038	41022
26.1006	26.0665	6.8547937870025635	40	77.8461538462	30.9412499222	138.0	35.0	77.8461538462	30.9412499222	1012	42034
19.4583	19.4597	7.049607515335083	41	63.1176470588	17.996347188	113.0	37.0	63.1176470588	17.996347188	1073	43107
29.2377	29.2171	7.239973306655884	42	91.4545454545	32.1512438226	141.0	54.0	91.4545454545	32.1512438226	1006	44113
17.8179	17.8255	7.386983394622803	43	59.0	14.4262832032	89.0	36.0	59.0	14.4262832032	1003	45116
27.7727	27.7493	7.577645778656006	44	86.75	29.5976491184	143.0	39.0	86.75	29.5976491184	1041	46157
24.6441	24.6122	7.737706661224365	45	80.6923076923	22.9158481116	121.0	47.0	80.6923076923	22.9158481116	1049	47206
25.0351	24.9992	7.907676696777344	46	81.6153846154	19.6607318963	113.0	44.0	81.6153846154	19.6607318963	1061	48267
29.4578	29.4093	8.086901426315308	47	92.7272727273	31.6919574228	171.0	61.0	92.7272727273	31.6919574228	1020	49287
22.164	22.1816	8.252175331115723	48	71.3333333333	20.4537418473	105.0	30.0	71.3333333333	20.4537418473	1070	50357
30.3802	30.3518	8.402780294418335	49	101.6	29.8804283771	145.0	43.0	101.6	29.8804283771	1016	51373
30.997	30.9624	8.559767723083496	50	96.1818181818	30.0962642859	155.0	60.0	96.1818181818	30.0962642859	1058	52431
35.133	35.0775	8.72891902923584	51	118.444444444	32.1942407241	161.0	63.0	118.444444444	32.1942407241	1066	53497
33.5103	33.4291	8.89085340499878	52	102.3	37.8551185443	200.0	58.0	102.3	37.8551185443	1023	54520
37.2113	37.1496	9.073428869247437	53	116.666666667	43.9545219517	200.0	58.0	116.666666667	43.9545219517	1050	55570
34.3036	34.2518	9.25557255744934	54	102.9	44.5924881566	200.0	36.0	102.9	44.5924881566	1029	56599
51.51	51.3223	9.445189476013184	55	174.5	25.2306031108	200.0	126.0	174.5	25.2306031108	1047	57646
38.4989	38.5783	9.6272554397583	56	133.5	24.894778569	170.0	97.0	133.5	24.894778569	1068	58714
47.1975	47.1778	9.798748970031738	57	154.857142857	33.3313604858	200.0	105.0	154.857142857	33.3313604858	1084	59798
51.605	51.5619	9.988813877105713	58	183.5	18.3098334236	200.0	155.0	183.5	18.3098334236	1101	60899
51.3636	51.2948	10.181583642959595	59	182.666666667	19.9304345718	200.0	155.0	182.666666667	19.9304345718	1096	61995
56.5602	56.5865	10.378365993499756	60	197.166666667	6.33552593625	200.0	183.0	197.166666667	6.33552593625	1183	63178
53.2956	53.2269	10.574016094207764	61	188.0	16.9705627485	200.0	164.0	188.0	16.9705627485	1128	64306
50.8654	50.8734	10.75915813446045	62	169.833333333	41.4504389469	200.0	98.0	169.833333333	41.4504389469	1019	65325
52.9102	52.8784	10.942321062088013	63	180.5	29.1761889218	200.0	125.0	180.5	29.1761889218	1083	66408
54.1831	54.1703	11.145250797271729	64	188.0	23.0434372436	200.0	137.0	188.0	23.0434372436	1128	67536
52.3598	52.3147	11.325927495956421	65	184.0	30.6159000085	200.0	116.0	184.0	30.6159000085	1104	68640
54.2172	54.2417	11.522103786468506	66	189.666666667	23.1060357675	200.0	138.0	189.666666667	23.1060357675	1138	69778
49.5746	49.5623	11.744627952575684	67	167.571428571	39.2932460313	200.0	110.0	167.571428571	39.2932460313	1173	70951
50.9202	50.922	11.924691200256348	68	174.333333333	35.7475717901	200.0	104.0	174.333333333	35.7475717901	1046	71997
47.7161	47.6565	12.113696336746216	69	154.0	39.767179576	200.0	100.0	154.0	39.767179576	1078	73075
48.0697	48.0181	12.305471181869507	70	169.5	36.2847534556	200.0	104.0	169.5	36.2847534556	1017	74092
52.6129	52.6185	12.490034580230713	71	177.333333333	32.5764059132	200.0	115.0	177.333333333	32.5764059132	1064	75156
56.2051	56.1841	12.70222806930542	72	200.0	0.0	200.0	200.0	200.0	0.0	1200	76356
52.0978	52.0675	12.89152979850769	73	158.142857143	62.6063177356	200.0	22.0	158.142857143	62.6063177356	1107	77463
54.7961	54.7827	13.107769250869751	74	200.0	0.0	200.0	200.0	200.0	0.0	1200	78663
52.5214	52.4876	13.30619215965271	75	183.333333333	35.9428558811	200.0	103.0	183.333333333	35.9428558811	1100	79763
49.0461	49.0473	13.49282169342041	76	170.666666667	29.7918706287	200.0	132.0	170.666666667	29.7918706287	1024	80787
52.3232	52.2853	13.685924291610718	77	188.666666667	17.2401340546	200.0	155.0	188.666666667	17.2401340546	1132	81919
50.1439	50.156	13.875639915466309	78	163.571428571	49.4219648764	200.0	85.0	163.571428571	49.4219648764	1145	83064
56.0213	56.0058	14.088938474655151	79	200.0	0.0	200.0	200.0	200.0	0.0	1200	84264
53.0169	52.931	14.288965225219727	80	181.666666667	30.5541413814	200.0	117.0	181.666666667	30.5541413814	1090	85354
53.8376	53.7731	14.496596813201904	81	197.833333333	4.84481395125	200.0	187.0	197.833333333	4.84481395125	1187	86541
