LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0319073	0.0182828	0.28026580810546875	0	19.2830188679	8.29042948677	44.0	8.0	19.2830188679	8.29042948677	1022	1022
0.0128548	0.000651814	0.4502592086791992	1	18.7222222222	8.43585089051	48.0	9.0	18.7222222222	8.43585089051	1011	2033
0.00160568	-0.0076497	0.5969240665435791	2	21.5106382979	10.2580997378	50.0	9.0	21.5106382979	10.2580997378	1011	3044
0.00109637	-0.00491112	0.7512238025665283	3	25.15	13.6483515488	66.0	11.0	25.15	13.6483515488	1006	4050
-0.0120608	-0.0228059	0.8957622051239014	4	27.4594594595	11.0590420254	56.0	10.0	27.4594594595	11.0590420254	1016	5066
-0.0141087	-0.0209507	1.0477972030639648	5	25.1707317073	15.2009345653	76.0	10.0	25.1707317073	15.2009345653	1032	6098
-0.0115348	-0.0182026	1.1973631381988525	6	31.8484848485	17.6791628969	107.0	12.0	31.8484848485	17.6791628969	1051	7149
-0.0110702	-0.0156875	1.375899076461792	7	32.5806451613	17.0403206723	94.0	13.0	32.5806451613	17.0403206723	1010	8159
-0.0167922	-0.0215111	1.5333130359649658	8	33.2258064516	15.6013020082	65.0	13.0	33.2258064516	15.6013020082	1030	9189
-0.0142603	-0.0195445	1.6866631507873535	9	32.03125	14.8228800655	67.0	11.0	32.03125	14.8228800655	1025	10214
-0.00660257	-0.00913602	1.8642687797546387	10	42.1153846154	18.7705311655	109.0	15.0	42.1153846154	18.7705311655	1095	11309
-0.00862138	-0.0112979	2.0327208042144775	11	39.9230769231	17.6916387833	84.0	12.0	39.9230769231	17.6916387833	1038	12347
-0.0056769	-0.00793372	2.1936497688293457	12	40.6	19.3680148699	85.0	11.0	40.6	19.3680148699	1015	13362
-0.00269357	-0.0042247	2.3754241466522217	13	47.5	21.8169033716	92.0	17.0	47.5	21.8169033716	1045	14407
-0.00880663	-0.0107197	2.533682107925415	14	44.0869565217	19.4353175687	96.0	16.0	44.0869565217	19.4353175687	1014	15421
-0.0142923	-0.0162724	2.7267162799835205	15	45.8636363636	25.7951641954	104.0	16.0	45.8636363636	25.7951641954	1009	16430
0.000790789	0.000389134	2.9186573028564453	16	55.2631578947	25.036483075	122.0	18.0	55.2631578947	25.036483075	1050	17480
-0.0021088	-0.00304295	3.0982699394226074	17	45.4347826087	17.6606319424	89.0	15.0	45.4347826087	17.6606319424	1045	18525
